Estado,Sigla,Ano,N_CASOS,Óbitos
Alagoas,AL,2007,32,9
Amazonas,AM,2007,1,0
Amapá,AP,2007,1,0
Bahia,BA,2007,233,48
Ceará,CE,2007,550,66
Distrito Federal,DF,2007,57,6
Goiás,GO,2007,19,6
Maranhão,MA,2007,301,48
Minas Gerais,MG,2007,423,90
Mato Grosso do Sul,MS,2007,236,30
Mato Grosso,MT,2007,31,18
Pará,PA,2007,370,39
Paraíba,PB,2007,25,3
Pernambuco,PE,2007,76,24
Piauí,PI,2007,363,63
Paraná,PR,2007,3,0
Rio de Janeiro,RJ,2007,3,0
Rio Grande do Norte,RN,2007,71,3
Rondônia,RO,2007,3,0
Roraima,RR,2007,3,0
Santa Catarina,SC,2007,1,0
Sergipe,SE,2007,75,18
São Paulo,SP,2007,264,60
Tocantins,TO,2007,424,48
Alagoas,AL,2008,25,3
Amazonas,AM,2008,4,3
Amapá,AP,2008,1,0
Bahia,BA,2008,197,27
Ceará,CE,2008,556,93
Distrito Federal,DF,2008,61,3
Espírito Santo,ES,2008,3,3
Goiás,GO,2008,28,3
Maranhão,MA,2008,404,42
Minas Gerais,MG,2008,526,93
Mato Grosso do Sul,MS,2008,252,84
Mato Grosso,MT,2008,55,18
Pará,PA,2008,366,45
Paraíba,PB,2008,41,3
Pernambuco,PE,2008,85,15
Piauí,PI,2008,452,78
Paraná,PR,2008,4,3
Rio Grande do Norte,RN,2008,93,15
Roraima,RR,2008,2,3
Santa Catarina,SC,2008,1,0
Sergipe,SE,2008,40,6
São Paulo,SP,2008,307,51
Tocantins,TO,2008,488,72
Alagoas,AL,2009,31,3
Amazonas,AM,2009,3,3
Bahia,BA,2009,349,36
Ceará,CE,2009,677,90
Distrito Federal,DF,2009,59,18
Espírito Santo,ES,2009,8,3
Goiás,GO,2009,23,6
Maranhão,MA,2009,370,21
Minas Gerais,MG,2009,579,222
Mato Grosso do Sul,MS,2009,196,33
Mato Grosso,MT,2009,68,15
Pará,PA,2009,301,39
Paraíba,PB,2009,21,3
Pernambuco,PE,2009,83,15
Piauí,PI,2009,267,90
Paraná,PR,2009,1,0
Rio de Janeiro,RJ,2009,6,3
Rio Grande do Norte,RN,2009,96,15
Roraima,RR,2009,7,0
Rio Grande do Sul,RS,2009,9,0
Sergipe,SE,2009,45,12
São Paulo,SP,2009,231,51
Tocantins,TO,2009,464,30
Alagoas,AL,2010,34,6
Amazonas,AM,2010,1,0
Bahia,BA,2010,394,57
Ceará,CE,2010,541,66
Distrito Federal,DF,2010,37,9
Espírito Santo,ES,2010,2,0
Goiás,GO,2010,33,3
Maranhão,MA,2010,354,24
Minas Gerais,MG,2010,580,189
Mato Grosso do Sul,MS,2010,215,51
Mato Grosso,MT,2010,55,15
Pará,PA,2010,312,27
Paraíba,PB,2010,33,15
Pernambuco,PE,2010,67,24
Piauí,PI,2010,248,63
Paraná,PR,2010,5,0
Rio de Janeiro,RJ,2010,2,0
Rio Grande do Norte,RN,2010,84,12
Roraima,RR,2010,17,6
Rio Grande do Sul,RS,2010,2,0
Sergipe,SE,2010,90,15
São Paulo,SP,2010,226,36
Tocantins,TO,2010,372,81
Alagoas,AL,2011,37,6
Amazonas,AM,2011,1,0
Bahia,BA,2011,378,36
Ceará,CE,2011,611,144
Distrito Federal,DF,2011,40,9
Espírito Santo,ES,2011,11,3
Goiás,GO,2011,29,6
Maranhão,MA,2011,381,69
Minas Gerais,MG,2011,506,138
Mato Grosso do Sul,MS,2011,273,45
Mato Grosso,MT,2011,55,21
Pará,PA,2011,365,39
Paraíba,PB,2011,42,18
Pernambuco,PE,2011,85,12
Piauí,PI,2011,313,69
Paraná,PR,2011,2,0
Rio de Janeiro,RJ,2011,5,3
Rio Grande do Norte,RN,2011,121,12
Rondônia,RO,2011,1,0
Roraima,RR,2011,16,3
Rio Grande do Sul,RS,2011,2,0
Santa Catarina,SC,2011,2,0
Sergipe,SE,2011,78,27
São Paulo,SP,2011,234,66
Tocantins,TO,2011,519,75
Alagoas,AL,2012,37,12
Amazonas,AM,2012,2,0
Bahia,BA,2012,301,63
Ceará,CE,2012,410,93
Distrito Federal,DF,2012,37,15
Espírito Santo,ES,2012,2,0
Goiás,GO,2012,26,21
Maranhão,MA,2012,230,33
